"id","sns_user_id","flag","flag_type","updated_at","created_at"
"1","21870","BEGIN_TURORIAL","0","2010-07-19 21:47:21.0","2010-07-19 21:47:21.0"
"3","21870","TURORIAL_SWF","0","2010-07-19 21:47:30.0","2010-07-19 21:47:30.0"
"5","21870","FIN_TURORIAL","0","2010-07-23 22:53:41.0","2010-07-19 21:47:41.0"
"82","11171","BEGIN_TURORIAL","0","2010-07-20 20:23:51.0","2010-07-20 20:23:51.0"
"84","11171","TURORIAL_SWF","0","2010-07-20 20:24:02.0","2010-07-20 20:24:02.0"
"86","11171","FIN_TURORIAL","0","2010-07-20 20:24:20.0","2010-07-20 20:24:20.0"
"180","16654","BEGIN_TURORIAL","0","2010-07-22 12:22:02.0","2010-07-22 12:22:02.0"
"181","19018","BEGIN_TURORIAL","0","2010-07-22 13:18:31.0","2010-07-22 13:18:31.0"
"183","19018","TURORIAL_SWF","0","2010-07-22 13:19:33.0","2010-07-22 13:19:33.0"
"184","15383","BEGIN_TURORIAL","0","2010-07-22 13:19:54.0","2010-07-22 13:19:54.0"
"186","19018","FIN_TURORIAL","0","2010-07-22 13:20:02.0","2010-07-22 13:20:02.0"
"189","15383","TURORIAL_SWF","0","2010-07-22 13:22:13.0","2010-07-22 13:22:13.0"
"191","15383","FIN_TURORIAL","0","2010-07-22 13:22:44.0","2010-07-22 13:22:44.0"
"193","21511","BEGIN_TURORIAL","0","2010-07-22 13:26:02.0","2010-07-22 13:26:02.0"
"195","21511","TURORIAL_SWF","0","2010-07-22 13:26:48.0","2010-07-22 13:26:48.0"
"197","21511","FIN_TURORIAL","0","2010-07-22 13:27:12.0","2010-07-22 13:27:12.0"
"199","21509","BEGIN_TURORIAL","0","2010-07-22 13:30:55.0","2010-07-22 13:30:55.0"
"201","21509","TURORIAL_SWF","0","2010-07-22 13:31:10.0","2010-07-22 13:31:10.0"
"203","21509","FIN_TURORIAL","0","2010-07-22 13:31:32.0","2010-07-22 13:31:32.0"
"211","16654","TURORIAL_SWF","0","2010-07-22 13:51:01.0","2010-07-22 13:51:01.0"
"212","16654","FIN_TURORIAL","0","2010-07-22 13:51:23.0","2010-07-22 13:51:23.0"
"214","17478","BEGIN_TURORIAL","0","2010-07-22 15:17:36.0","2010-07-22 15:17:36.0"
"216","17478","TURORIAL_SWF","0","2010-07-22 15:17:52.0","2010-07-22 15:17:52.0"
"218","17478","FIN_TURORIAL","0","2010-07-22 15:18:11.0","2010-07-22 15:18:11.0"
"220","21510","BEGIN_TURORIAL","0","2010-07-22 16:51:11.0","2010-07-22 16:51:11.0"
"222","21510","TURORIAL_SWF","0","2010-07-22 16:51:29.0","2010-07-22 16:51:29.0"
"224","21510","FIN_TURORIAL","0","2010-07-22 16:51:49.0","2010-07-22 16:51:49.0"
"238","21748","BEGIN_TURORIAL","0","2010-07-22 21:15:03.0","2010-07-22 21:15:03.0"
"239","21748","TURORIAL_SWF","0","2010-07-22 21:15:21.0","2010-07-22 21:15:21.0"
"240","21748","FIN_TURORIAL","0","2010-07-22 21:15:43.0","2010-07-22 21:15:43.0"
"248","17239","BEGIN_TURORIAL","0","2010-07-22 21:16:26.0","2010-07-22 21:16:26.0"
"265","15395","BEGIN_TURORIAL","0","2010-07-23 14:09:28.0","2010-07-23 14:09:28.0"
"267","15395","TURORIAL_SWF","0","2010-07-23 14:09:39.0","2010-07-23 14:09:39.0"
"269","15395","FIN_TURORIAL","0","2010-07-23 14:09:56.0","2010-07-23 14:09:56.0"
"277","15111","BEGIN_TURORIAL","0","2010-07-23 21:03:38.0","2010-07-23 21:03:38.0"
"279","15111","TURORIAL_SWF","0","2010-07-23 21:04:10.0","2010-07-23 21:04:10.0"
"281","15111","FIN_TURORIAL","0","2010-07-23 21:04:43.0","2010-07-23 21:04:43.0"
"283","19858","BEGIN_TURORIAL","0","2010-07-23 21:54:03.0","2010-07-23 21:54:03.0"
"284","15330","BEGIN_TURORIAL","0","2010-07-23 21:55:38.0","2010-07-23 21:55:38.0"
"286","15330","TURORIAL_SWF","0","2010-07-23 21:55:56.0","2010-07-23 21:55:56.0"
"288","15330","FIN_TURORIAL","0","2010-07-23 21:56:15.0","2010-07-23 21:56:15.0"
"291","19858","TURORIAL_SWF","0","2010-07-23 21:56:37.0","2010-07-23 21:56:37.0"
"293","19858","FIN_TURORIAL","0","2010-07-23 21:57:30.0","2010-07-23 21:57:30.0"
"295","15287","BEGIN_TURORIAL","0","2010-07-24 10:54:14.0","2010-07-24 10:54:14.0"
"297","15287","TURORIAL_SWF","0","2010-07-24 10:54:37.0","2010-07-24 10:54:37.0"
"299","15287","FIN_TURORIAL","0","2010-07-24 10:55:01.0","2010-07-24 10:55:01.0"
"308","15324","BEGIN_TURORIAL","0","2010-07-26 11:54:38.0","2010-07-26 11:54:38.0"
"310","15324","TURORIAL_SWF","0","2010-07-26 11:54:52.0","2010-07-26 11:54:52.0"
"312","17477","BEGIN_TURORIAL","0","2010-07-26 12:17:26.0","2010-07-26 12:17:26.0"
"314","17477","TURORIAL_SWF","0","2010-07-26 12:17:48.0","2010-07-26 12:17:48.0"
"316","17477","FIN_TURORIAL","0","2010-07-26 12:18:17.0","2010-07-26 12:18:17.0"
"324","17472","BEGIN_TURORIAL","0","2010-07-26 12:20:05.0","2010-07-26 12:20:05.0"
"326","17472","TURORIAL_SWF","0","2010-07-26 12:20:33.0","2010-07-26 12:20:33.0"
"328","17472","FIN_TURORIAL","0","2010-07-26 12:21:01.0","2010-07-26 12:21:01.0"
"339","22156","BEGIN_TURORIAL","0","2010-07-26 13:49:54.0","2010-07-26 13:49:54.0"
"341","22156","TURORIAL_SWF","0","2010-07-26 13:50:38.0","2010-07-26 13:50:38.0"
"343","22156","FIN_TURORIAL","0","2010-07-26 13:51:01.0","2010-07-26 13:51:01.0"
"358","18139","BEGIN_TURORIAL","0","2010-07-26 18:31:04.0","2010-07-26 18:31:04.0"
"360","18139","TURORIAL_SWF","0","2010-07-26 18:31:38.0","2010-07-26 18:31:38.0"
"362","18139","FIN_TURORIAL","0","2010-07-26 18:32:13.0","2010-07-26 18:32:13.0"
"364","22646","BEGIN_TURORIAL","0","2010-07-26 20:52:59.0","2010-07-26 20:52:59.0"
"366","22646","TURORIAL_SWF","0","2010-07-26 20:53:24.0","2010-07-26 20:53:24.0"
"368","22646","FIN_TURORIAL","0","2010-07-26 20:53:42.0","2010-07-26 20:53:42.0"
"370","22648","BEGIN_TURORIAL","0","2010-07-26 21:17:41.0","2010-07-26 21:17:41.0"
"372","22648","TURORIAL_SWF","0","2010-07-26 21:17:59.0","2010-07-26 21:17:59.0"
"374","22648","FIN_TURORIAL","0","2010-07-26 21:18:25.0","2010-07-26 21:18:25.0"
"376","22649","BEGIN_TURORIAL","0","2010-07-26 21:56:51.0","2010-07-26 21:56:51.0"
"378","22649","TURORIAL_SWF","0","2010-07-26 21:57:00.0","2010-07-26 21:57:00.0"
"380","22649","FIN_TURORIAL","0","2010-07-26 21:57:17.0","2010-07-26 21:57:17.0"
"388","17475","BEGIN_TURORIAL","0","2010-07-27 12:50:23.0","2010-07-27 12:50:23.0"
"390","17475","TURORIAL_SWF","0","2010-07-27 12:50:54.0","2010-07-27 12:50:54.0"
"392","17475","FIN_TURORIAL","0","2010-07-27 12:51:10.0","2010-07-27 12:51:10.0"
"415","22651","BEGIN_TURORIAL","0","2010-07-27 20:25:56.0","2010-07-27 20:25:56.0"
"422","22651","TURORIAL_SWF","0","2010-07-27 20:33:09.0","2010-07-27 20:33:09.0"
"423","22651","FIN_TURORIAL","0","2010-07-27 20:33:23.0","2010-07-27 20:33:23.0"
"425","17239","TURORIAL_SWF","0","2010-07-27 20:58:53.0","2010-07-27 20:58:53.0"
"426","17239","FIN_TURORIAL","0","2010-07-27 20:59:37.0","2010-07-27 20:59:37.0"
"453","11246","BEGIN_TURORIAL","0","2010-07-28 16:04:58.0","2010-07-28 16:04:58.0"
"455","11246","TURORIAL_SWF","0","2010-07-28 16:05:28.0","2010-07-28 16:05:28.0"
"457","11246","FIN_TURORIAL","0","2010-07-28 16:05:46.0","2010-07-28 16:05:46.0"
"465","15297","BEGIN_TURORIAL","0","2010-07-28 19:35:05.0","2010-07-28 19:35:05.0"
"467","15297","TURORIAL_SWF","0","2010-07-28 19:35:14.0","2010-07-28 19:35:14.0"
"468","15921","BEGIN_TURORIAL","0","2010-07-29 14:12:25.0","2010-07-29 14:12:25.0"
"470","15921","TURORIAL_SWF","0","2010-07-29 14:12:43.0","2010-07-29 14:12:43.0"
"472","15921","FIN_TURORIAL","0","2010-07-29 14:12:58.0","2010-07-29 14:12:58.0"
"474","16796","BEGIN_TURORIAL","0","2010-07-29 17:55:59.0","2010-07-29 17:55:59.0"
"476","16796","TURORIAL_SWF","0","2010-07-29 17:56:11.0","2010-07-29 17:56:11.0"
"478","16796","FIN_TURORIAL","0","2010-07-29 17:56:26.0","2010-07-29 17:56:26.0"
